feature,ks_stat,ks_pval,mw_pval,cohens_d,SCZ_mean,Non SCZ_mean,SCZ_std,Non SCZ_std,-log10_ks_p
lh_parsorbitalis_MD,0.4710124826629681,6.582297863051279e-09,1.0573767535300312e-09,1.0399321945792654,1.0088502601657925,1.148113751134468,0.13597338816777751,0.13182637210865467,8.181622468843138
rh_middletemporal_PF,0.46574202496532596,1.027798603581349e-08,9.635987134071702e-12,1.0834054412433602,0.3505327276667109,0.3930783403362223,0.04174957669566448,0.03662348134891506,7.988091976704676
lh_rostralanteriorcingulate_MK,0.4578363384188627,1.944982464344766e-08,5.340893369121454e-10,1.0882222073243883,1.0309318308113236,1.1671933658597347,0.12505334245770244,0.1253760661441555,7.711084309851197
rh_lingual_MK,0.45159500693481275,3.3514601597389065e-08,3.447192577827243e-09,0.9749812657234422,1.0436287909840523,1.144493990361028,0.10558773992749138,0.101274241010008,7.474765938886514
lh_parsorbitalis_MK,0.45048543689320386,3.6946546041881485e-08,1.2104765597725505e-09,1.0720272684351333,1.0168359349348284,1.151662716396903,0.12490853386940858,0.12662173619736145,7.432426155511781
rh_lateralorbitofrontal_PF,0.4497919556171983,3.8458833331522816e-08,8.377086314062316e-10,0.9646789745289169,0.34572588630240547,0.38784719111896016,0.04666563949359675,0.040439196282033296,7.4150038944440535
lh_bankssts_MD,0.4459084604715673,5.3537737574602195e-08,5.55516981908157e-10,1.0814119971493952,0.9460574982463225,1.078000302874388,0.13088420460144093,0.11243701310663093,7.2713399854021015
rh_inferiortemporal_FW,0.4446601941747573,5.783189961703858e-08,1.7979485880215262e-08,0.8240456036436199,0.37005354402755986,0.4109782163013759,0.052660356994536736,0.04647297011935125,7.237832542096404
lh_rostralanteriorcingulate_MD,0.43786407766990293,9.924030702014628e-08,7.660748266332454e-09,0.9836180547060628,1.03240330015348,1.166457426233391,0.13604560732037796,0.13652750362546393,7.003311900819124
rh_inferiorparietal_PF,0.43148404993065187,1.650488218817564e-07,1.1873507663740376e-09,0.921162767931204,0.3506459489589662,0.38742681122856854,0.04166395047495327,0.03811459929054992,6.782387571315968
rh_supramarginal_PF,0.430374479889043,1.7840287549125053e-07,3.2582943505160156e-09,0.8980693413101548,0.3503352655130579,0.3862045120218655,0.04164186174381412,0.038163150571328165,6.748598149960352
rh_fusiform_FW,0.4201109570041609,3.8739166137185357e-07,2.6338450339664546e-07,0.7817466062026134,0.36888533230990844,0.4092197767553706,0.0536232054063273,0.04948434260032857,6.411849731730398
rh_precentral_FW,0.41262135922330095,6.82529135744183e-07,1.5996190558651988e-07,0.7683289294462148,0.37001140812145883,0.4103659581463301,0.05384725490324161,0.05116343874523685,6.165878804766554
rh_rostralanteriorcingulate_MK,0.41040221914008324,7.96693673019643e-07,1.4463282332377357e-07,0.8430828109176045,1.0954283435148315,1.1976215926356424,0.12231699791786324,0.12010041602172435,6.098708631790837
rh_parsorbitalis_MK,0.4087378640776699,9.080959366796315e-07,2.802494283730135e-09,1.0629369489988254,1.0266930341118006,1.172034919231362,0.13009110436983243,0.1430728597686761,6.041868267591645
